timestamp	packets/s	real-label	predict_p/s	predict-label
920898030	4.52	1	4.52	0
920898090	9.52	0	7.15	1
920898150	3.23	0	5.71	0
920898210	3.22	0	4.97	0
920898270	20.07	0	8.73	1
920898330	11.53	0	9.42	1
920898390	5.85	0	8.78	0
920898450	2.4	0	7.62	0
920898510	3.53	0	6.88	0
920898570	2.73	0	6.09	0
920898630	3.43	0	5.5	0
920898690	6.48	0	5.49	1
920898750	1.33	0	4.59	0
920898810	2.45	0	3.94	0
920898870	5.62	0	3.87	1
920898930	1.78	0	3.37	0
920898990	23.03	0	6.91	1
920899050	20.37	0	9.66	1
920899110	4.32	0	9.16	0
920899170	16.35	0	10.83	1
920899230	7.32	0	10.61	0
920899290	87.92	0	24.98	1
920899350	218.63	0	61.63	1
920899410	144.33	0	80.82	1
920899470	115.58	0	92.2	1
920899530	13.28	0	82.99	0
920899590	7.1	0	72.44	0
920899650	1.92	0	61.24	0
920899710	9.52	0	51.76	0
920899770	9.95	0	42.26	0
920899830	6.8	0	32.3	0
920899890	10.85	0	23.09	0
920899950	2.42	0	13.75	0
920900010	6.53	0	9.09	0
920900070	14.02	0	8.29	1
920900130	8.88	0	8.41	0
920900190	5.98	0	8.08	0
920900250	45.1	0	14.88	1
920900310	133.25	0	36.93	1
920900370	105.85	0	51.74	1
920900430	88.2	0	61.6	1
920900490	83.8	0	69.18	1
920900550	79.5	0	74.65	0
920900610	57.33	0	74.69	0
920900670	63.95	0	75.01	0
920900730	58.78	0	73.48	0
920900790	65.0	0	72.18	0
920900850	41.9	0	65.6	0
920900910	57.82	0	61.98	0
920900970	40.47	1	56.57	0
920901030	44.95	0	53.17	0
920901090	41.78	0	49.97	0
920901150	70.18	0	52.7	1
920901210	52.8	0	52.45	0
920901270	54.02	0	52.49	0
920901330	56.45	0	53.16	0
920901390	70.7	0	56.46	1
920901450	60.72	0	57.85	0
920901510	58.88	0	58.56	0
920901570	58.25	0	59.13	0
920901630	52.25	0	58.29	0
920901690	45.68	0	56.12	0
920901750	41.33	0	53.09	0
920901810	44.83	0	51.22	0
920901870	53.63	0	51.1	0
920901930	58.82	0	51.93	1
920901990	104.7	0	61.05	1
920902050	55.7	0	60.65	0
920902110	51.62	0	59.6	0
920902170	54.02	0	59.11	0
920902230	68.93	0	61.42	1
920902290	85.07	0	66.35	1
920902350	51.07	0	64.39	0
920902410	75.02	0	66.61	1
920902470	55.55	0	64.73	0
920902530	48.55	0	61.55	0
920902590	32.37	0	55.61	0
920902650	74.02	0	58.56	1
920902710	76.67	0	61.66	1
920902770	47.8	0	59.06	0
920902830	56.47	0	58.14	0
920902890	57.82	0	57.7	0
920902950	56.88	0	57.58	0
920903010	75.8	0	60.8	1
920903070	53.47	0	59.94	0
920903130	62.95	0	60.84	0
920903190	49.35	0	59.01	0
920903250	78.37	0	62.14	1
920903310	70.27	0	63.73	1
920903370	55.63	0	62.77	0
920903430	42.08	0	59.2	0
920903490	42.97	0	56.05	0
920903550	62.7	0	56.77	1
920903610	66.15	0	58.0	1
920903670	64.6	0	59.13	0
920903730	61.3	0	59.46	0
920903790	66.92	0	60.83	1
920903850	51.75	0	59.14	0
920903910	49.23	1	57.46	0
920903970	42.62	0	54.97	0
920904030	52.45	0	54.5	0
920904090	56.28	0	54.54	0
920904150	35.65	0	50.58	0
920904210	53.48	0	50.36	0
920904270	56.7	0	50.96	1
920904330	45.97	0	49.74	0
920904390	65.52	0	52.36	1
920904450	52.32	0	52.61	0
920904510	53.08	0	52.99	0
920904570	59.5	0	54.46	0
920904630	45.35	0	53.05	0
920904690	53.98	0	53.34	0
