timestamp	packets/s	real-label
920898030 4.52		1
920898090 9.52		0
920898150 3.23		0
920898210 3.22		0
920898270 20.07		0
920898330 11.53		0
920898390 5.85		0
920898450 2.40		0
920898510 3.53		0
920898570 2.73		0
920898630 3.43		0
920898690 6.48		0
920898750 1.33		0
920898810 2.45		0
920898870 5.62		0
920898930 1.78		0
920898990 23.03		0
920899050 20.37		0
920899110 4.32		0
920899170 16.35		0
920899230 7.32		0
920899290 87.92		0
920899350 218.63		0
920899410 144.33		0
920899470 115.58		0
920899530 13.28		0
920899590 7.10		0
920899650 1.92		0
920899710 9.52		0
920899770 9.95		0
920899830 6.80		0
920899890 10.85		0
920899950 2.42		0
920900010 6.53		0
920900070 14.02		0
920900130 8.88		0
920900190 5.98		0
920900250 45.10		0
920900310 133.25		0
920900370 105.85		0
920900430 88.20		0
920900490 83.80		0
920900550 79.50		0
920900610 57.33		0
920900670 63.95		0
920900730 58.78		0
920900790 65.00		0
920900850 41.90		0
920900910 57.82		0
920900970 40.47		1
920901030 44.95		0
920901090 41.78		0
920901150 70.18		0
920901210 52.80		0
920901270 54.02		0
920901330 56.45		0
920901390 70.70		0
920901450 60.72		0
920901510 58.88		0
920901570 58.25		0
920901630 52.25		0
920901690 45.68		0
920901750 41.33		0
920901810 44.83		0
920901870 53.63		0
920901930 58.82		0
920901990 104.70		0
920902050 55.70		0
920902110 51.62		0
920902170 54.02		0
920902230 68.93		0
920902290 85.07		0
920902350 51.07		0
920902410 75.02		0
920902470 55.55		0
920902530 48.55		0
920902590 32.37		0
920902650 74.02		0
920902710 76.67		0
920902770 47.80		0
920902830 56.47		0
920902890 57.82		0
920902950 56.88		0
920903010 75.80		0
920903070 53.47		0
920903130 62.95		0
920903190 49.35		0
920903250 78.37		0
920903310 70.27		0
920903370 55.63		0
920903430 42.08		0
920903490 42.97		0
920903550 62.70		0
920903610 66.15		0
920903670 64.60		0
920903730 61.30		0
920903790 66.92		0
920903850 51.75		0
920903910 49.23		1
920903970 42.62		0
920904030 52.45		0
920904090 56.28		0
920904150 35.65		0
920904210 53.48		0
920904270 56.70		0
920904330 45.97		0
920904390 65.52		0
920904450 52.32		0
920904510 53.08		0
920904570 59.50		0
920904630 45.35		0
920904690 53.98		0
920904750 72.07		0
920904810 69.30		0
920904870 59.10		0
920904930 100.72		0
920904990 82.00		0
920905050 56.20		0
920905110 36.07		0
920905170 46.62		0
920905230 40.87		0
920905290 58.72		0
920905350 52.08		0
920905410 66.75		0
920905470 42.45		0
920905530 41.93		0
920905590 49.77		0
920905650 57.20		0
920905710 141.60		0
920905770 39.55		0
920905830 41.45		0
920905890 33.53		0
920905950 67.68		0
920906010 66.13		0
920906070 85.92		0
920906130 72.73		0
920906190 56.92		0
920906250 77.55		0
920906310 63.18		0
920906370 45.70		0
920906430 58.50		0
920906490 48.97		0
920906550 34.65		0
920906610 23.13		0
920906670 50.07		0
920906730 27.42		0
920906790 43.00		0
920906850 56.15		0
920906910 92.72		0
920906970 45.35		0
920907030 37.97		0
920907090 46.85		0
920907150 33.77		0
920907210 41.30		0
920907270 38.03		0
920907330 36.07		0
920907390 27.97		0
920907450 29.42		0
920907510 83.83		0
920907570 49.75		0
920907630 58.08		0
920907690 49.55		0
920907750 64.82		0
920907810 53.48		0
920907870 63.80		0
920907930 40.13		0
920907990 48.87		0
920908050 33.05		0
920908110 37.48		0
920908170 45.12		0
920908230 38.08		0
920908290 48.77		0
920908350 60.72		0
920908410 57.40		0
920908470 36.78		0
920908530 31.93		0
920908590 43.12		0
920908650 44.92		0
920908710 22.48		0
920908770 25.60		0
920908830 46.48		0
920908890 51.18		0
920908950 58.78		0
920909010 41.62		0
920909070 31.73		0
920909130 25.48		0
920909190 50.38		0
920909250 75.32		0
920909310 61.83		0
920909370 49.20		0
920909430 44.50		0
920909490 50.22		0
920909550 58.75		0
920909610 38.47		0
920909670 55.55		0
920909730 66.47		0
920909790 60.15		0
920909850 103.23		0
920909910 102.43		0
920909970 59.17		0
920910030 73.73		0
920910090 45.43		0
920910150 57.57		0
920910210 49.73		0
920910270 73.22		0
920910330 44.13		0
920910390 51.73		0
920910450 40.78		0
920910510 73.88		0
920910570 57.17		0
920910630 67.77		0
920910690 51.73		0
920910750 80.02		0
920910810 48.43		0
920910870 67.93		0
920910930 52.33		0
920910990 49.73		0
920911050 61.15		0
920911110 69.78		0
920911170 68.43		0
920911230 55.47		0
920911290 41.65		0
920911350 73.62		0
920911410 51.10		0
920911470 54.73		0
920911530 79.80		0
920911590 61.52		0
920911650 71.22		0
920911710 70.63		0
920911770 49.85		0
920911830 55.85		0
920911890 53.45		0
920911950 63.97		0
920912010 68.38		0
920912070 59.55		0
920912130 50.83		0
920912190 46.18		0
920912250 33.70		0
920912310 55.22		0
920912370 52.23		0
920912430 52.13		0
920912490 46.80		0
920912550 54.53		0
920912610 63.53		0
920912670 49.28		0
920912730 45.50		0
920912790 51.23		0
920912850 61.20		0
920912910 61.07		1
920912970 80.77		0
920913030 50.50		0
920913090 37.23		0
920913150 53.02		0
920913210 55.33		0
920913270 69.23		0
920913330 42.93		0
920913390 59.07		0
920913450 61.73		0
920913510 87.05		0
920913570 56.90		0
920913630 66.18		0
920913690 49.00		0
920913750 47.43		0
920913810 56.35		0
920913870 45.70		0
920913930 56.17		0
920913990 54.65		0
920914050 48.00		0
920914110 55.97		0
920914170 55.08		0
920914230 81.08		0
920914290 77.83		0
920914350 67.20		0
920914410 86.33		0
920914470 59.45		0
920914530 44.38		0
920914590 60.95		0
920914650 51.62		0
920914710 31.90		0
920914770 37.07		0
920914830 62.72		0
920914890 59.42		0
920914950 55.68		0
920915010 52.67		0
920915070 63.47		0
920915130 60.20		0
920915190 51.68		0
920915250 46.78		0
920915310 70.48		0
920915370 38.00		0
920915430 41.62		0
920915490 49.08		0
920915550 90.20		0
920915610 26.98		0
920915670 40.95		0
920915730 42.90		0
920915790 49.22		0
920915850 48.52		0
920915910 57.48		0
920915970 34.17		0
920916030 44.87		0
920916090 32.87		0
920916150 29.10		0
920916210 39.50		0
920916270 46.93		0
920916330 55.80		0
920916390 46.20		0
920916450 40.60		0
920916510 44.12		0
920916570 61.17		0
920916630 46.58		0
920916690 60.65		0
920916750 34.82		0
920916810 35.42		0
920916870 29.75		0
920916930 56.23		0
920916990 46.53		0
920917050 22.57		0
920917110 28.27		0
920917170 40.08		0
920917230 63.53		0
920917290 32.95		0
920917350 38.97		0
920917410 42.62		0
920917470 49.05		0
920917530 52.73		0
920917590 47.12		0
920917650 40.53		0
920917710 72.77		0
920917770 57.72		0
920917830 63.60		0
920917890 28.88		0
920917950 53.40		0
920918010 56.28		0
920918070 42.07		0
920918130 76.45		0
920918190 93.78		0
920918250 64.83		0
920918310 74.62		0
920918370 65.43		0
920918430 60.42		0
920918490 35.55		0
920918550 62.63		0
920918610 31.47		0
920918670 53.55		0
920918730 95.08		0
920918790 38.38		0
920918850 18.95		0
920918910 52.95		0
920918970 39.27		0
920919030 34.30		0
920919090 64.83		0
920919150 67.35		0
920919210 41.10		0
920919270 32.10		0
920919330 39.98		0
920919390 36.28		0
920919450 34.95		0
920919510 43.48		0
920919570 30.60		0
920919630 65.45		0
920919690 27.15		0
920919750 29.70		0
920919810 28.23		0
920919870 38.12		0
920919930 41.95		0
920919990 26.33		0
920920050 41.48		0
920920110 43.03		0
920920170 42.60		0
920920230 53.62		0
920920290 46.63		0
920920350 31.48		0
920920410 21.17		0
920920470 40.47		0
920920530 58.90		0
920920590 27.40		0
920920650 42.82		0
920920710 58.75		0
920920770 43.27		0
920920830 58.00		0
920920890 79.95		0
920920950 33.50		0
920921010 12.48		0
920921070 33.67		0
920921130 24.77		0
920921190 24.23		0
920921250 25.28		0
920921310 25.07		0
920921370 36.63		0
920921430 32.00		0
920921490 81.53		0
920921550 45.48		0
920921610 33.48		0
920921670 34.15		0
920921730 35.83		0
920921790 55.40		0
920921850 55.77		0
920921910 27.62		0
920921970 52.37		0
920922030 50.08		0
920922090 31.95		0
920922150 30.60		0
920922210 37.95		0
920922270 11.70		0
920922330 37.00		0
920922390 31.30		0
920922450 59.77		0
920922510 56.90		0
920922570 57.37		0
920922630 58.73		0
920922690 60.48		0
920922750 33.95		0
920922810 25.57		0
920922870 27.50		0
920922930 32.35		0
920922990 49.03		0
920923050 34.08		0
920923110 37.43		0
920923170 45.20		0
920923230 52.23		0
920923290 44.82		0
920923350 57.70		0
920923410 81.42		0
920923470 39.48		0
920923530 46.97		0
920923590 46.05		0
920923650 50.35		0
920923710 57.22		0
920923770 48.25		0
920923830 46.98		0
920923890 58.50		0
920923950 50.28		0
920924010 84.13		0
920924070 25.52		0
920924130 35.75		0
920924190 40.23		0
920924250 39.47		0
920924310 41.82		0
920924370 40.22		0
920924430 43.82		0
920924490 33.97		0
920924550 35.58		0
920924610 27.37		0
